id,二元成立,是否成立,案件大類型,案件細節類型,主席,調解人,調解次數,調解人數,have_other,調解天數,收件年,收件月,收件日,結案年,結案月,結案日,收件星期,結案星期,收件分鐘,結案分鐘,死,賠償,糾紛,male_sum,male_mean,聲請人_sum,對造人_sum,法定代理人_sum,委任代理人_sum,公司代表人_sum,age_mean,age_median,age_min,age_max,party_count,age_missing_rate,city_missing_rate,city_mode,money_sum,money_mean,money_first,money_last,調解人過去經手數,調解人過去成功數,調解人過去成功率,案件分類
10000775,0,不成立,B.刑事,交通事故,385000000000000.0,354000000000000.0,2.0,2,0,152.0,2011,12,348,2012.0,7.0,194.0,2,3.0,608.0,910.0,0,0,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,33.0,33.0,24.0,42.0,2.0,0.0,0.5,台南,-1.0,-1.0,-1.0,-1.0,18.0,15.0,0.833333333,車禍
10000776,0,不成立,B.刑事,交通事故,385000000000000.0,304000000000000.0,5.0,4,1,150.0,2011,12,355,2012.0,7.0,199.0,2,1.0,915.0,860.0,0,0,1,1.0,0.25,1.0,1.0,0.0,2.0,0.0,54.333333333333336,61.0,36.0,66.0,4.0,0.25,0.0,台南,-1.0,-1.0,-1.0,-1.0,112.0,73.0,0.651785714,車禍
10000777,0,不成立,B.刑事,交通事故,385000000000000.0,341000000000000.0,2.0,3,0,161.0,2011,12,342,2012.0,7.0,201.0,3,3.0,845.0,910.0,0,0,1,1.0,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,3.0,0.3333333333333333,0.0,台南,-1.0,-1.0,-1.0,-1.0,105.0,70.0,0.666666667,車禍
10000778,1,成立,B.刑事,交通事故,385000000000000.0,245000000000000.0,1.0,2,0,12.0,2011,12,348,2011.0,12.0,363.0,2,3.0,960.0,880.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,42.0,42.0,26.0,58.0,2.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,9.0,5.0,0.555555556,車禍
10000779,1,成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,1.0,2,0,1.0,2011,12,360,2011.0,12.0,360.0,0,0.0,940.0,960.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,46.5,46.5,29.0,64.0,2.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,128.0,83.0,0.6484375,車禍
10000780,1,成立,B.刑事,交通事故,385000000000000.0,372000000000000.0,1.0,2,0,1.0,2011,12,361,2011.0,12.0,361.0,1,1.0,828.0,840.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,52.0,52.0,47.0,57.0,2.0,0.0,0.0,台南,220000.0,220000.0,220000.0,220000.0,59.0,39.0,0.661016949,車禍
10100001,1,成立,B.刑事,交通事故,385000000000000.0,304000000000000.0,1.0,9,1,15.0,2011,12,348,2012.0,1.0,3.0,2,1.0,695.0,860.0,0,0,1,3.0,0.3333333333333333,3.0,3.0,1.0,1.0,0.0,43.333333333333336,37.0,36.0,57.0,9.0,0.6666666666666666,0.3333333333333333,台南,-1.0,-1.0,-1.0,-1.0,110.0,71.0,0.645454545,車禍
10100002,1,成立,A.民事,交通事故,385000000000000.0,3.85e+19,2.0,3,0,22.0,2011,12,354,2012.0,1.0,18.0,1,2.0,850.0,600.0,0,1,0,1.0,0.3333333333333333,1.0,2.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,3.0,0.6666666666666666,0.0,台南,-1.0,-1.0,-1.0,-1.0,4.0,2.0,0.5,車禍
10100003,1,成立,B.刑事,人身/侵權,385000000000000.0,385000000000000.0,3.0,4,1,78.0,2011,12,357,2012.0,4.0,101.0,4,1.0,960.0,860.0,0,0,1,1.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,20.0,20.0,20.0,20.0,3.0,0.6666666666666666,0.3333333333333333,台南,-1.0,-1.0,-1.0,-1.0,10.0,5.0,0.5,傷害
10100004,1,成立,B.刑事,交通事故,385000000000000.0,304000000000000.0,1.0,2,0,8.0,2011,12,357,2012.0,1.0,3.0,4,1.0,1112.0,910.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,41.0,41.0,41.0,41.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,114.0,74.0,0.649122807,車禍
10100005,0,當事人不到場,A.民事,契約/債務,385000000000000.0,3.85e+19,1.0,3,0,8.0,2011,12,357,2012.0,1.0,3.0,4,1.0,600.0,910.0,0,0,1,3.0,0.75,1.0,3.0,0.0,0.0,0.0,49.5,52.0,35.0,59.0,4.0,0.0,0.0,台南,1000.0,1000.0,1000.0,1000.0,20.0,7.0,0.35,債務
10100006,0,不成立,A.民事,人身/侵權,385000000000000.0,385000000000000.0,2.0,2,0,65.0,2011,12,355,2012.0,3.0,80.0,2,1.0,680.0,910.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,46.0,46.0,46.0,46.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,57.0,21.0,0.368421053,土地建物
10100008,1,成立,B.刑事,交通事故,385000000000000.0,371000000000000.0,3.0,2,0,64.0,2011,12,354,2012.0,3.0,76.0,1,4.0,840.0,900.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,46.5,46.5,46.0,47.0,2.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,25.0,19.0,0.76,車禍
10100009,0,不成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,1.0,4,0,9.0,2011,12,360,2012.0,1.0,5.0,0,3.0,1176.0,860.0,0,0,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,61.0,61.0,60.0,62.0,3.0,0.3333333333333333,0.0,台南,-1.0,-1.0,-1.0,-1.0,129.0,84.0,0.651162791,車禍
10100010,1,成立,B.刑事,交通事故,385000000000000.0,372000000000000.0,2.0,7,1,26.0,2011,12,361,2012.0,1.0,31.0,1,1.0,940.0,910.0,0,0,1,3.0,0.4285714285714285,1.0,2.0,4.0,0.0,0.0,36.42857142857143,41.0,17.0,52.0,7.0,0.0,0.4285714285714285,台南,-1.0,-1.0,-1.0,-1.0,60.0,40.0,0.666666667,車禍
10100012,1,成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,1.0,3,1,3.0,2011,12,364,2012.0,1.0,3.0,4,1.0,525.0,910.0,0,0,1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,34.0,34.0,34.0,34.0,3.0,0.6666666666666666,0.0,台南,-1.0,-1.0,-1.0,-1.0,130.0,84.0,0.646153846,車禍
10100013,1,成立,B.刑事,人身/侵權,385000000000000.0,371000000000000.0,2.0,2,0,25.0,2011,12,364,2012.0,2.0,33.0,4,3.0,529.0,910.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,34.0,32.0,36.0,2.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,傷害
10100014,1,成立,A.民事,契約/債務,385000000000000.0,341000000000000.0,2.0,4,0,19.0,2011,12,361,2012.0,1.0,20.0,1,4.0,960.0,960.0,0,0,1,1.0,0.3333333333333333,1.0,2.0,0.0,0.0,0.0,43.0,43.0,43.0,43.0,3.0,0.6666666666666666,0.0,台南,150000.0,150000.0,150000.0,150000.0,23.0,6.0,0.260869565,債務
10100015,1,成立,B.刑事,交通事故,385000000000000.0,3.85e+19,2.0,2,0,34.0,2011,12,363,2012.0,2.0,45.0,3,1.0,579.0,680.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,2.0,1.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,88.0,58.0,0.659090909,車禍
10100016,1,成立,B.刑事,交通事故,385000000000000.0,354000000000000.0,1.0,2,0,5.0,2011,12,364,2012.0,1.0,5.0,4,3.0,599.0,860.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,61.0,61.0,61.0,61.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,21.0,16.0,0.761904762,車禍
